tpo	abs	sal
5.4827	0.0000	1.9979
5.4908	0.0000	1.9979
5.4989	0.0000	1.9980
5.5070	0.0000	1.9981
5.5152	0.0000	1.9983
5.5233	0.0000	1.9986
5.5314	0.0000	1.9991
5.5395	0.0000	1.9992
5.5476	0.0000	1.9997
5.5558	0.0000	2.0000
